Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,AdversarialScraper - /api/inventory/:id,965,604,12,35.956363419773254,2.1124999984749593,169.30440000578528,64.56891191709845,1.6101014790924897,1.0077733610071127,12,58,69,74,93,110,140,150,170,170,170
GET,AdversarialScraper - /api/price/:id,965,603,12,39.59083720212899,1.8915999971795827,3542.774499997904,63.332642487046634,1.6101014790924897,1.006104862065048,12,55,67,71,87,110,140,150,3500,3500,3500
GET,AdversarialScraper - /api/search,291,187,12,42.752825773033656,2.3245999982464127,3186.9017999997595,104.12027491408935,0.485533192140844,0.3120093021661094,12,30,62,68,83,95,130,180,3200,3200,3200
POST,AdversarialScraper - /checkout,163,109,54,62.16163312852207,14.610399994126055,166.81120000430383,56.4601226993865,0.2719653275565552,0.18186638468505842,54,62,71,76,91,110,130,130,170,170,170
GET,AdversarialScraper - /products,425,270,13,48.20235623539809,2.0372999933897518,2740.8378000036464,1312.649411764706,0.7091120503775213,0.45049471435748417,13,53,66,72,87,110,130,150,2700,2700,2700
GET,AdversarialScraper - /products/:id,965,603,13,41.40113098443567,1.968100004887674,3162.2334999992745,73.86528497409327,1.6101014790924897,1.006104862065048,13,55,65,70,91,110,140,160,3200,3200,3200
GET,AdversarialScraper - /static/style.css,302,187,12,42.55629801353292,2.0806000029551797,2386.629799999355,661.5198675496689,0.5038866805035563,0.3120093021661094,12,54,65,69,86,100,140,160,2400,2400,2400
GET,Human - /,56,0,70,93.26702499986693,20.048500002303626,1607.804400002351,878.0,0.09343594075562635,0.0,70,79,82,83,110,110,170,1600,1600,1600,1600
GET,Human - /api/price/:id,145,0,70,73.55012068934417,15.639099998224992,160.64759999426315,40.241379310344826,0.24193234659938964,0.0,70,80,88,96,130,140,150,150,160,160,160
GET,Human - /cart,56,0,70,117.1043892853569,16.92229999753181,2658.204699997441,0.0,0.09343594075562635,0.0,70,83,96,100,130,140,140,2700,2700,2700,2700
GET,Human - /cart (burst),92,0,69,74.22219891304849,16.50569999765139,178.1182999984594,0.0,0.15350190266995756,0.0,70,88,100,110,120,140,150,180,180,180,180
POST,Human - /checkout,40,0,74,81.71162250073394,55.876500002341345,143.5087000063504,15.0,0.06673995768259025,0.0,75,82,96,100,110,120,140,140,140,140,140
GET,Human - /products,61,0,80,79.28461639330337,21.17519999592332,181.91189999924973,3465.0,0.10177843546595013,0.0,80,90,110,110,130,140,140,180,180,180,180
GET,Human - /products (burst),76,0,73,88.81056579000295,20.061600000190083,1155.641999997897,3465.0,0.12680591959692147,0.0,75,83,90,91,120,150,190,1200,1200,1200,1200
GET,Human - /products/:id,145,0,72,77.30983931010243,18.999200001417194,596.2722999975085,67.92413793103448,0.24193234659938964,0.0,72,80,93,100,120,130,190,210,600,600,600
GET,Human - static css,7,0,50,53.66390000043403,40.29180000361521,76.6479999947478,1612.0,0.011679492594453294,0.0,50,57,59,59,77,77,77,77,77,77,77
GET,Human - static js,7,0,30,27.645042856290406,19.134599999233615,32.867499998246785,677.0,0.011679492594453294,0.0,30,30,31,31,33,33,33,33,33,33,33
GET,Human - static logo,7,0,30,27.720757143729966,20.261400000890717,35.05250000307569,499.0,0.011679492594453294,0.0,30,30,35,35,35,35,35,35,35,35,35
GET,JitteredFlood - burst,32880,32717,7,10.05476416057563,1.857800001744181,3602.3872000005213,81.8580291970803,54.86024521508918,54.58827988753263,7,10,11,13,17,22,30,37,84,2900,3600
GET,Recon - /actuator/prometheus,369,0,10,22.67062195109331,3.8204000011319295,3494.2770000052406,29722.265582655826,0.615676109621895,0.0,10,14,17,19,25,34,41,46,3500,3500,3500
GET,Recon - /admin/routes,369,369,6,9.020374254789676,1.262400000996422,346.9513000018196,30.0,0.615676109621895,0.615676109621895,6,8,10,11,17,23,32,40,350,350,350
GET,Recon - /api/search (sqli),399,196,23,48.94314837072119,2.6100999966729432,3078.532699997595,38.8421052631579,0.6657310778838377,0.32702579264469217,23,34,58,66,85,100,140,190,3100,3100,3100
GET,Recon - /products/99999,209,209,26,55.9505334927945,3.120500005024951,2631.563200004166,51.08133971291866,0.348716278891534,0.348716278891534,26,62,72,78,100,120,140,150,2600,2600,2600
GET,Recon - traversal,199,199,6,18.529068342058736,1.5028999987407587,2142.8091999987373,30.0,0.33203128947088645,0.33203128947088645,6,8,10,11,15,24,34,48,2100,2100,2100
GET,Scraper - /api/inventory/:id,9822,9822,8,9.83392000611039,1.8564999991212972,94.59670000069309,77.02280594583588,16.387996608960034,16.387996608960034,8,11,13,14,18,23,31,39,64,95,95
GET,Scraper - /api/price/:id,9822,9822,8,9.443582742837998,1.8911000006482936,693.441299998085,77.04367745876604,16.387996608960034,16.387996608960034,8,10,12,13,17,21,28,35,82,690,690
POST,Scraper - /checkout,487,487,50,52.49038008204231,18.631799997820053,106.91390000283718,77.0,0.8125589847855362,0.8125589847855362,50,53,56,57,64,72,82,90,110,110,110
GET,Scraper - /products,3418,3418,7,16.510094558196023,1.9237000014982186,3492.073099994741,77.020479812756,5.702929383977336,5.702929383977336,7,10,12,13,18,24,33,45,3200,3500,3500
GET,Scraper - /products/:id,9822,9822,7,16.425873457554424,1.9162000025971793,3511.6353999983403,77.03838322133986,16.387996608960034,16.387996608960034,7,10,12,13,18,24,34,44,3100,3500,3500
POST,SlowFlood - /checkout,7241,7085,49,57.03258795746617,4.534599996986799,3353.2933999958914,75.68043087971274,12.0816008394909,11.821315004528797,49,51,53,55,61,68,79,89,2800,3400,3400
GET,StealthScraper - /api/price/:id,1268,1268,8,9.600274605680754,1.9083000006503426,166.2544999999227,77.13880126182966,2.1156566585381107,2.1156566585381107,8,10,12,13,18,23,30,38,66,170,170
POST,StealthScraper - /checkout,69,69,50,52.2509130436895,8.82850000198232,81.77290000458015,77.0,0.11512642700246817,0.11512642700246817,50,54,57,58,65,72,78,82,82,82,82
GET,StealthScraper - /products/:id,1268,1268,8,26.243239826508447,2.107500004058238,3348.9985999985947,77.16561514195584,2.1156566585381107,2.1156566585381107,8,11,13,14,20,29,47,370,3100,3300,3300
GET,Unprotected Flood - /api/price/:id,99279,99214,7,9.303261943607557,1.8189999973401427,3740.2633000019705,76.9819196406088,165.64690646924691,165.5384540380127,7,9,11,12,16,20,28,34,76,3500,3700
GET,Unprotected Flood - /api/search,66265,66195,7,9.31811681429765,1.7700999960652553,3581.645299993397,77.07183279257526,110.56308239592106,110.44628746997653,7,9,11,12,16,21,28,35,72,3500,3600
GET,Unprotected Flood - /products,66324,66277,7,9.275081349122008,1.8326999997952953,3583.0056999984663,79.40481575297026,110.66152383350288,110.58310438322584,7,9,11,12,16,21,28,35,75,3500,3600
,Aggregated,314278,311000,7,11.623520600226643,1.262400000996422,3740.2633000019705,116.42461451326533,524.3725105142274,518.9031709821392,7,10,12,13,19,30,50,62,140,3500,3700
