Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782762391,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782762392,10,,Aggregated,0.000000,0.000000,4,12,25,28,32,53,59,70,70,70,70,75,56,4,14.126597333330816,2.324699999007862,70.14279999566497,687.88
1782762393,20,,Aggregated,0.000000,0.000000,4,5,10,13,29,35,53,70,72,72,72,262,228,4,9.91517633589261,2.181900003051851,72.05940000130795,297.6374045801527
1782762394,30,,Aggregated,55.000000,37.000000,4,6,8,12,30,38,53,69,72,72,72,491,430,4,9.93370773937447,2.181900003051851,72.05940000130795,234.0224032586558
1782762395,40,,Aggregated,97.000000,81.000000,4,5,6,10,28,36,49,65,72,72,72,748,664,4,9.197657219184697,2.023900000494905,72.05940000130795,235.76069518716577
1782762396,60,,Aggregated,138.333333,119.000000,4,5,6,9,27,36,49,68,74,78,78,1070,956,4,9.083118130821218,2.0069999955012463,77.69180000468623,213.9943925233645
1782762397,70,,Aggregated,166.750000,146.000000,4,5,6,9,26,36,52,68,76,78,78,1397,1248,4,9.036900572625312,2.0069999955012463,77.69180000468623,192.7244094488189
1782762398,80,,Aggregated,190.600000,168.400000,4,5,6,8,23,35,53,67,78,79,79,1823,1649,4,8.68041941850294,1.9578999999794178,79.03489999443991,174.24629731212286
1782762399,90,,Aggregated,218.500000,193.833333,4,5,6,8,22,34,52,67,76,79,79,2263,2070,4,8.491097083487329,1.8189999973401427,79.03489999443991,155.08174988952717
1782762400,100,,Aggregated,240.857143,216.714286,5,6,7,9,21,34,52,67,77,79,79,2759,2530,5,8.651839760732987,1.8189999973401427,79.03489999443991,172.06777818050017
1782762401,109,,Aggregated,262.625000,239.000000,5,6,7,9,21,34,51,67,77,79,79,3333,3073,5,8.756927452669862,1.8189999973401427,79.03489999443991,172.33633363336332
1782762402,109,,Aggregated,286.666667,261.555556,5,6,7,8,19,33,50,65,77,79,79,3919,3638,5,8.448087802949212,1.8189999973401427,79.03489999443991,167.2768563409033
